event,x_mm,y_mm,z_mm,edep_MeV,photons_prod,photons_shifted,photons_detected
226,-43.8036,7.96665,100,2.9831,29831,0,76
207,57.3127,6.98557,100,2.77523,27752,0,70
208,7.54097,72.5415,100,0,0,0,0
227,28.1433,74.5759,100,0,0,0,0
209,-53.1488,-74.794,100,0,0,0,0
57,-45.5698,55.0315,100,2.77327,27733,0,82
186,-0.909456,-45.6717,100,6.03262,60324,0,125
210,-73.5786,-26.3127,100,2.13299,21330,0,65
82,52.048,-63.0288,100,5.03996,50400,0,135
187,10.7869,35.1397,100,0.112926,1129,0,6
243,78.7929,21.6334,100,2.4884,24885,0,57
83,-57.8151,77.2052,100,0,0,0,0
228,68.9573,-41.8424,100,5.05024,50503,0,118
244,61.5888,-35.6136,100,2.25153,22516,0,72
211,41.8962,-79.98,100,2.83082,28308,0,72
264,48.8351,-9.66675,100,3.37501,33750,0,101
12,-5.98293,-22.0348,100,3.21382,32136,0,76
229,-79.2085,79.7706,100,3.72217,37221,0,82
245,0.949525,-8.64166,100,2.58154,25815,0,60
58,-15.4624,50.4817,100,2.63933,26392,0,69
212,-9.58548,-19.6828,100,2.99301,29928,0,81
188,-27.5002,52.0003,100,4.83063,48306,0,156
189,-46.0901,6.16975,100,0,0,0,0
230,10.9049,74.4315,100,2.8944,28945,0,67
84,70.3682,-40.7364,100,2.82659,28266,0,73
213,14.2158,-57.6376,100,2.08541,20854,0,70
246,-45.0716,52.4058,100,3.88047,38805,0,69
247,-9.96848,43.0027,100,0,0,0,0
231,16.0179,-70.0811,100,2.35297,23530,0,66
85,7.62195,-74.8625,100,2.29326,22933,0,58
214,-12.971,62.5251,100,2.4847,24847,0,69
13,53.8874,34.1405,100,2.22386,22238,0,78
232,-16.0376,-35.7491,100,2.61131,26113,0,69
265,63.9032,-15.721,100,3.42409,34242,0,98
14,78.4814,18.7021,100,2.31477,23147,0,55
266,42.7229,-71.4414,100,0,0,0,0
59,-2.12477,-76.4173,100,3.00104,30011,0,78
215,4.00965,-47.1127,100,2.9123,29124,0,67
60,-76.9629,-53.3986,100,0,0,0,0
233,-10.9815,28.9079,100,2.70796,27081,0,70
86,-68.5875,-45.9043,100,2.1497,21496,48,62
15,65.4294,-45.0365,100,2.66741,26674,0,61
16,-67.8954,44.4711,100,0,0,0,0
87,-77.1547,-76.3975,100,2.61816,26181,0,64
286,64.4006,77.0702,100,0,0,0,0
234,-67.0332,-5.11958,100,2.83737,28375,0,73
235,-41.871,4.10208,100,0,0,0,0
216,-0.223008,-21.6738,100,4.85356,48536,0,117
17,-32.7062,2.78961,100,2.34163,23416,0,71
61,10.3349,-4.13632,100,2.45336,267,4,0,50
78.359,-23.7529,100,2.48255,24825,0,84
287,68.5945,-19.0969,100,2.60318190,,0,72
-62.5718,-69.8636,100,5.2479,52480,0,127
248,5.96386,18.7947,100,2.76328,27631,0,69
191,-40.2873,-50.714,100,0,0,0,0
268,-34.3743,-49.6504,100,2.29906,22990,18,51
18,-7.53881,59.6392,100,3.17833,31783,0,91
249,29.2125,68.2094,100,2.55996,25600,0,67
288,-41.5522,-50.2306,100,3.70545,37054,0,103
192,29.8989,45.3259,100,3.12198,31221,0,67
62,-41.6308,47.9685,100,2.82458,28245,0,73
250,58.9379,-79.8288,100,2.58989,25900,0,61
236,-2.84228,-16.5819,100,2.49522,24953,0,82
63,-32.1656,13.47,100,0,0,0,0
289,3.40644,-75.9818,100,2.43164,24316,0,82
251,-47.3815,-29.1767,100,2.50765,25076,0,84
19,31.5391,-19.5912,100,2.49885,24989,0,62
252,47.6691,-63.0155,100,0,0,0,0
193,-5.7602,27.1436,100,2.91591,29160,0,83
290,16.2148,33.0203,100,2.3692,23692,0,73
20,-75.5482,0.101998,100,0,0,0,0
269,-44.83,73.3252,100,2.98852,29885,0,97
253,79.176,-29.5756,100,2.8407,28407,0,88
194,-17.7003,-47.1386,100,3.60939,36095,0,81
237,-39.5268,-32.0306,100,3.0571,30572,0,79
254,-30.3457,46.7012,100,0,0,0,0
291,-59.4383,-21.6818,100,3.38412,33840,0,104
