freq_GHz,S11_dB,S21_dB
6.879999999999999449e-01,-2.426729504094549839e+01,-5.523288270665543953e-01
7.002500000000000391e-01,-2.394698979889409785e+01,-5.584547083865094574e-01
7.125000000000000222e-01,-2.359401499622157772e+01,-5.645485754033533476e-01
7.247500000000000053e-01,-2.321166998923218827e+01,-5.706112502918253560e-01
7.369999999999999885e-01,-2.280352546997966812e+01,-5.766435206266951052e-01
7.492499999999999716e-01,-2.237339044854332215e+01,-5.826461413876052875e-01
7.614999999999999547e-01,-2.192527703053991317e+01,-5.886198368169844874e-01
7.737500000000000488e-01,-2.146336331569088429e+01,-5.945653021439795127e-01
7.860000000000000320e-01,-2.099195476064125998e+01,-6.004832051860300446e-01
7.982500000000000151e-01,-2.051544436342885902e+01,-6.063741878385364714e-01
8.104999999999999982e-01,-2.003827203789960265e+01,-6.122388674620311555e-01
8.227499999999999813e-01,-1.956488355385555877e+01,-6.180778381753428974e-01
8.349999999999999645e-01,-1.909968942273705750e+01,-6.238916720624266832e-01
8.472499999999999476e-01,-1.864702410914294717e+01,-6.296809202997990518e-01
8.595000000000000417e-01,-1.821110594547730699e+01,-6.354461142108733807e-01
8.717500000000000249e-01,-1.779599812050662777e+01,-6.411877662529028576e-01
8.840000000000000080e-01,-1.740557110267684493e+01,-6.469063709417264274e-01
8.962499999999999911e-01,-1.704346684576807647e+01,-6.526024057190371597e-01
9.084999999999999742e-01,-1.671306510797800371e+01,-6.582763317664862557e-01
9.207499999999999574e-01,-1.641745219597620675e+01,-6.639285947705462210e-01
9.330000000000000515e-01,-1.615939242304095558e+01,-6.695596256417299941e-01
9.452500000000000346e-01,-1.594130254528558766e+01,-6.751698411914494047e-01
9.575000000000000178e-01,-1.576522941243513465e+01,-6.807596447695232200e-01
9.697500000000000009e-01,-1.563283103988035094e+01,-6.863294268650955710e-01
9.819999999999999840e-01,-1.554536127709071280e+01,-6.918795656734998412e-01
9.942499999999999671e-01,-1.550365821420306389e+01,-6.974104276313954909e-01
1.006499999999999950e+00,-1.550813643402588760e+01,-7.029223679223246535e-01
1.018750000000000044e+00,-1.555878318113075309e+01,-7.084157309546587067e-01
1.030999999999999917e+00,-1.565515848347104821e+01,-7.138908508137604692e-01
1.043250000000000011e+00,-1.579639922540892449e+01,-7.193480516900373489e-01
1.055500000000000105e+00,-1.598122713448266552e+01,-7.247876482844415325e-01
1.067749999999999977e+00,-1.620796060804626748e+01,-7.302099461928512891e-01
1.080000000000000071e+00,-1.647453027039592399e+01,-7.356152422706632166e-01
1.092249999999999943e+00,-1.677849811649289791e+01,-7.410038249788245546e-01
1.104500000000000037e+00,-1.711708006521771352e+01,-7.463759747124505406e-01
1.116749999999999909e+00,-1.748717171355421840e+01,-7.517319641130835173e-01
1.129000000000000004e+00,-1.788537705349462570e+01,-7.570720583655797808e-01
1.141250000000000098e+00,-1.830803988605319432e+01,-7.623965154805375510e-01
1.153499999999999970e+00,-1.875127764182888512e+01,-7.677055865631194909e-01
1.165750000000000064e+00,-1.921101729529798874e+01,-7.729995160690616984e-01
1.177999999999999936e+00,-1.968303304065155501e+01,-7.782785420486054706e-01
1.190250000000000030e+00,-2.016298538069911572e+01,-7.835428963790453949e-01
1.202499999999999902e+00,-2.064646126728966991e+01,-7.887928049865327029e-01
1.214749999999999996e+00,-2.112901492197504894e+01,-7.940284880577357374e-01
1.227000000000000091e+00,-2.160620895934844654e+01,-7.992501602419196383e-01
1.239249999999999963e+00,-2.207365543269158792e+01,-8.044580308439683858e-01
1.251500000000000057e+00,-2.252705642228209726e+01,-8.096523040088421386e-01
1.263749999999999929e+00,-2.296224379094298129e+01,-8.148331788979279455e-01
1.276000000000000023e+00,-2.337521773911836931e+01,-8.200008498577175953e-01
1.288249999999999895e+00,-2.376218380286349330e+01,-8.251555065812137268e-01
1.300499999999999989e+00,-2.411958795253889321e+01,-8.302973342624463404e-01
1.312750000000000083e+00,-2.444414946756631579e+01,-8.354265137444543132e-01
1.324999999999999956e+00,-2.473289128317379237e+01,-8.405432216610668750e-01
1.337250000000000050e+00,-2.498316752844032962e+01,-8.456476305728000131e-01
1.349499999999999922e+00,-2.519268800092929439e+01,-8.507399090971623501e-01
1.361750000000000016e+00,-2.535953935153461103e+01,-8.558202220336528221e-01
1.374000000000000110e+00,-2.548220278359253399e+01,-8.608887304837041787e-01
1.386249999999999982e+00,-2.555956810255297285e+01,-8.659455919658308742e-01
1.398500000000000076e+00,-2.559094398625958888e+01,-8.709909605262031729e-01
1.410749999999999948e+00,-2.557606438084527767e+01,-8.760249868448746202e-01
1.423000000000000043e+00,-2.551509096308554803e+01,-8.810478183378660511e-01
1.435249999999999915e+00,-2.540861164643548875e+01,-8.860595992553039757e-01
1.447500000000000009e+00,-2.525763514456981795e+01,-8.910604707757983078e-01
1.459750000000000103e+00,-2.506358164271133404e+01,-8.960505710972305193e-01
1.471999999999999975e+00,-2.482826966303420235e+01,-9.010300355241240844e-01
1.484250000000000069e+00,-2.455389924563096571e+01,-9.059989965517467603e-01
1.496499999999999941e+00,-2.424303160061153051e+01,-9.109575839470970271e-01
1.508750000000000036e+00,-2.389856541954212332e+01,-9.159059248269123543e-01
1.520999999999999908e+00,-2.352371006533199704e+01,-9.208441437328339640e-01
1.533250000000000002e+00,-2.312195588854784134e+01,-9.257723627038518810e-01
1.545500000000000096e+00,-2.269704194471530911e+01,-9.306907013461511724e-01
1.557749999999999968e+00,-2.225292141120602452e+01,-9.355992769004704002e-01
1.570000000000000062e+00,-2.179372502358661734e+01,-9.404982043070834186e-01
1.582249999999999934e+00,-2.132372286962471719e+01,-9.453875962685009959e-01
1.594500000000000028e+00,-2.084728489433794962e+01,-9.502675633099946229e-01
1.606749999999999901e+00,-2.036884048139382486e+01,-9.551382138380296594e-01
1.618999999999999995e+00,-1.989283748471209279e+01,-9.599996541966995256e-01
1.631250000000000089e+00,-1.942370108920591676e+01,-9.648519887222400948e-01
1.643499999999999961e+00,-1.896579288117909101e+01,-9.696953197957064452e-01
1.655750000000000055e+00,-1.852337050695672005e+01,-9.745297478938858005e-01
1.667999999999999927e+00,-1.810054829288666767e+01,-9.793553716385176022e-01
1.680250000000000021e+00,-1.770125919095603706e+01,-9.841722878438914357e-01
1.692499999999999893e+00,-1.732921840200647878e+01,-9.889805915628844257e-01
1.704749999999999988e+00,-1.698788901301447396e+01,-9.937803761315031625e-01
1.717000000000000082e+00,-1.668044996627444121e+01,-9.985717332119877776e-01
