freq_GHz,S11_dB
2.125399999999999956e+00,-7.994875357791807247e+00
2.128000000000000114e+00,-7.995445636840857517e+00
2.130599999999999827e+00,-7.995956252663221520e+00
2.133199999999999985e+00,-7.996412989797343052e+00
2.135800000000000143e+00,-7.996821124950376003e+00
2.138399999999999856e+00,-7.997185465677659977e+00
2.141000000000000014e+00,-7.997510386752216149e+00
2.143600000000000172e+00,-7.997799864294196759e+00
2.146199999999999886e+00,-7.998057507736074712e+00
2.148800000000000043e+00,-7.998286589703990757e+00
2.151400000000000201e+00,-7.998490073899296782e+00
2.153999999999999915e+00,-7.998670641066824238e+00
2.156600000000000072e+00,-7.998830713138052495e+00
2.159199999999999786e+00,-7.998972475638236546e+00
2.161799999999999944e+00,-7.999097898446568600e+00
2.164400000000000102e+00,-7.999208754997975568e+00
2.166999999999999815e+00,-7.999306640014025582e+00
2.169599999999999973e+00,-7.999392985848834847e+00
2.172200000000000131e+00,-7.999469077533895245e+00
2.174799999999999844e+00,-7.999536066603383233e+00
2.177400000000000002e+00,-7.999594983778893109e+00
2.180000000000000160e+00,-7.999646750589707977e+00
2.182599999999999874e+00,-7.999692190001667313e+00
2.185200000000000031e+00,-7.999732036124532542e+00
2.187800000000000189e+00,-7.999766943064543057e+00
2.190399999999999903e+00,-7.999797492985496028e+00
2.193000000000000060e+00,-7.999824203438403281e+00
2.195600000000000218e+00,-7.999847534016448769e+00
2.198199999999999932e+00,-7.999867892388703439e+00
2.200800000000000090e+00,-7.999885639762796430e+00
2.203399999999999803e+00,-7.999901095823642727e+00
2.205999999999999961e+00,-7.999914543192202743e+00
2.208600000000000119e+00,-7.999926231445325442e+00
2.211199999999999832e+00,-7.999936380734837371e+00
2.213799999999999990e+00,-7.999945185041339002e+00
2.216400000000000148e+00,-7.999952815095466185e+00
2.218999999999999861e+00,-7.999959420996977322e+00
2.221600000000000019e+00,-7.999965134559557711e+00
2.224200000000000177e+00,-7.999970071407016547e+00
2.226799999999999891e+00,-7.999974332844415059e+00
2.229400000000000048e+00,-7.999978007525635704e+00
2.232000000000000206e+00,-7.999981172936968754e+00
2.234599999999999920e+00,-7.999983896714514486e+00
2.237200000000000077e+00,-7.999986237811463674e+00
2.239799999999999791e+00,-7.999988247529668861e+00
2.242399999999999949e+00,-7.999989970428380559e+00
2.245000000000000107e+00,-7.999991445121482414e+00
2.247599999999999820e+00,-7.999992704973118762e+00
2.250199999999999978e+00,-7.999993778700130065e+00
2.252800000000000136e+00,-7.999994690888278193e+00
2.255399999999999849e+00,-7.999995462427738069e+00
2.258000000000000007e+00,-7.999996110871854249e+00
