freq_MHz, Z_ohm
9.772372209558110967e+01,2.431693335478128049e+00
1.000000000000000000e+02,2.419999999999999485e+00
1.023292992280753708e+02,2.410543841682073030e+00
1.047128548050898473e+02,2.403433090764173663e+00
1.071519305237609103e+02,2.398787799002442434e+00
1.096478196143182799e+02,2.396741813634145402e+00
1.122018454301965278e+02,2.397444983458709711e+00
1.148153621496884114e+02,2.401065604328350478e+00
1.174897554939530409e+02,2.407793097785678071e+00
1.202264434617413116e+02,2.417840893260897239e+00
1.230268770812381121e+02,2.431449445866772585e+00
1.258925411794166109e+02,2.448889260553057223e+00
1.288249551693132275e+02,2.470463697658174862e+00
1.318256738556410141e+02,2.496511187999471471e+00
1.348962882591650612e+02,2.527406263838266387e+00
1.380384264602886617e+02,2.563558482657976256e+00
1.412537544622755377e+02,2.605407840760532334e+00
1.445439770745927888e+02,2.653414591147371215e+00
1.479108388168207000e+02,2.708040441272657972e+00
1.513561248436207052e+02,2.769716877193550530e+00
1.548816618912479441e+02,2.838794877009388262e+00
1.584893192461111084e+02,2.915468743268612606e+00
1.621810097358932978e+02,2.999665754551377184e+00
1.659586907437563070e+02,3.090893989046485046e+00
1.698243652461746080e+02,3.188045141043016617e+00
1.737800828749376194e+02,3.289160677784289000e+00
1.778279410038922776e+02,3.391191991029329778e+00
1.819700858609982390e+02,3.489819960600891058e+00
1.862087136662865703e+02,3.579440673709274989e+00
1.905460717963252080e+02,3.653451001809316701e+00
1.949844599758041568e+02,3.704942036224727175e+00
1.995262314968882720e+02,3.727791419194368849e+00
2.041737944669531544e+02,3.717942977696852225e+00
2.089296130854040996e+02,3.674467710538568355e+00
2.137962089502232459e+02,3.599970179579356611e+00
2.187761623949551790e+02,3.500127597286328385e+00
2.238721138568337778e+02,3.382522996454036868e+00
2.290867652767769869e+02,3.255217317980363401e+00
2.344228815319927719e+02,3.125528608166768585e+00
2.398832919019485246e+02,2.999288883132843253e+00
2.454708915685033617e+02,2.880601652139435309e+00
2.511886431509581996e+02,2.771963997449620187e+00
2.570395782768864592e+02,2.674576798283823997e+00
2.630267991895381670e+02,2.588702388822528011e+00
2.691534803926913924e+02,2.513987209448860227e+00
2.754228703338163768e+02,2.449715924814198864e+00
2.818382931264449098e+02,2.394993644481891337e+00
2.884031503126611824e+02,2.348866988517003040e+00
2.951209226666390464e+02,2.310398769669911090e+00
3.019951720402019077e+02,2.278710095210382036e+00
3.090295432513592004e+02,2.253000909441937871e+00
3.162277660168379612e+02,2.232557023056760848e+00
3.235936569296280823e+02,2.216749160171387345e+00
3.311311214825907996e+02,2.205027653076817806e+00
3.388441561392034487e+02,2.196915071945943154e+00
3.467368504525309731e+02,2.191998171027937037e+00
3.548133892335760606e+02,2.189919943326074314e+00
3.630780547701018008e+02,2.190372203765361903e+00
3.715352290971728166e+02,2.193088893366978098e+00
3.801893963205612295e+02,2.197840162849796553e+00
3.890451449942804629e+02,2.204427218921167775e+00
3.981071705534968714e+02,2.212677877685533367e+00
4.073802778041122110e+02,2.222442752556232914e+00
4.168693834703364018e+02,2.233591999632028813e+00
4.265795188015916892e+02,2.246012546012933431e+00
4.365158322401665600e+02,2.259605732529804456e+00
4.466835921509634773e+02,2.274285309807161148e+00
4.570881896148752048e+02,2.289975734304121602e+00
4.677351412871981324e+02,2.306610718355100786e+00
4.786300923226380064e+02,2.324131994954787839e+00
4.897788193684456246e+02,2.342488263983135699e+00
5.011872336272714961e+02,2.361634291734978408e+00
5.128613839913658694e+02,2.381530140050565958e+00
5.248074602497733849e+02,2.402140505109116475e+00
5.370317963702532325e+02,2.423434149128038229e+00
5.495408738576247742e+02,2.445383410885273001e+00
5.623413251903491528e+02,2.467963783225864294e+00
5.754399373371566071e+02,2.491153547592391160e+00
5.888436553555884529e+02,2.514933457190623223e+00
6.025595860743593448e+02,2.539286461716350196e+00
6.165950018614809096e+02,2.564197467669201203e+00
6.309573444801943651e+02,2.589653129200102377e+00
6.456542290346562822e+02,2.615641665210362010e+00
6.606934480075965439e+02,2.642152699067976229e+00
6.760829753919817904e+02,2.669177117850089598e+00
6.918309709189362593e+02,2.696706948478217125e+00
7.079457843841372551e+02,2.724735248498127760e+00
7.244359600749891115e+02,2.753256009581584784e+00
7.413102413009191878e+02,2.782264072102204278e+00
7.585775750291820714e+02,2.811755049370526116e+00
7.762471166286927655e+02,2.841725260311230628e+00
7.943282347242821970e+02,2.872171669533092775e+00
8.128305161640994356e+02,2.903091833885814488e+00
8.317637711026709439e+02,2.934483854719495799e+00
8.511380382023759239e+02,2.966346335167148407e+00
8.709635899560796588e+02,2.998678341859903895e+00
8.912509381337441710e+02,3.031479370561235509e+00
9.120108393559114575e+02,3.064749315272425001e+00
9.332543007969924247e+02,3.098488440418200707e+00
9.549925860214369777e+02,3.132697355770519554e+00
9.772372209558111535e+02,3.167376993810567587e+00
1.000000000000000000e+03,3.202528589265869030e+00
