freq_GHz,S11_dB,S21_dB,Z0_ohm
6.636666666666666270e-01,-1.310315599768581585e+01,-3.752623622138695492e-01,5.942127580188036262e+01
6.700000000000000400e-01,-1.303191241852690929e+01,-3.777655638666679305e-01,5.922163962751007205e+01
6.763333333333332309e-01,-1.303055953983858117e+01,-3.802616768223963661e-01,5.899527730768109990e+01
6.826666666666666439e-01,-1.309945493970804975e+01,-3.827507872566276448e-01,5.874362188567043574e+01
6.889999999999999458e-01,-1.323772200987173164e+01,-3.852329795086101294e-01,5.846826652906402444e+01
6.953333333333332478e-01,-1.344326535677528689e+01,-3.877083361368972025e-01,5.817095444381095604e+01
7.016666666666666607e-01,-1.371280761537429349e+01,-3.901769379728000642e-01,5.785356783842216544e+01
7.079999999999999627e-01,-1.404194702889683555e+01,-3.926388641717685757e-01,5.751811600817880787e+01
7.143333333333332646e-01,-1.442523478295392891e+01,-3.950941922627989600e-01,5.716672261478593953e+01
7.206666666666666776e-01,-1.485627073532082143e+01,-3.975429981959592296e-01,5.680161224200097791e+01
7.269999999999999796e-01,-1.532781585952055181e+01,-3.999853563881217156e-01,5.642509631234987921e+01
7.333333333333332815e-01,-1.583191942669730956e+01,-4.024213397669844094e-01,5.603955845408880521e+01
7.396666666666665835e-01,-1.636005869133175139e+01,-4.048510198134593896e-01,5.564743941104923408e+01
7.459999999999999964e-01,-1.690328862667073295e+01,-4.072744666025024940e-01,5.525122159089885088e+01
7.523333333333332984e-01,-1.745239907918243460e+01,-4.096917488424544618e-01,5.485341334963887050e+01
7.586666666666666003e-01,-1.799807658100222696e+01,-4.121029339129594904e-01,5.445653311182908141e+01
7.650000000000000133e-01,-1.853106797749978085e+01,-4.145080879015246578e-01,5.406309342707138654e+01
7.713333333333332043e-01,-1.904234299520791751e+01,-4.169072756387787182e-01,5.367558506368609983e+01
7.776666666666666172e-01,-1.952325289397019503e+01,-4.193005607324885031e-01,5.329646124028024445e+01
7.840000000000000302e-01,-1.996568241596041560e+01,-4.216880056003842747e-01,5.292812209503357934e+01
7.903333333333332211e-01,-2.036219236199412563e+01,-4.240696715018472673e-01,5.257289949102362669e+01
7.966666666666666341e-01,-2.070615029022016529e+01,-4.264456185685059353e-01,5.223304225378327459e+01
8.030000000000000471e-01,-2.099184704095765142e+01,-4.288159058337876472e-01,5.191070193454833515e+01
8.093333333333332380e-01,-2.121459704046278105e+01,-4.311805912614693481e-01,5.160791918932432054e+01
8.156666666666666510e-01,-2.137082062139675998e+01,-4.335397317732687661e-01,5.132661086000329931e+01
8.219999999999999529e-01,-2.145810691371308820e+01,-4.358933832755149118e-01,5.106855783931690240e+01
8.283333333333332549e-01,-2.147525620103929711e+01,-4.382416006849364498e-01,5.083539379644950884e+01
8.346666666666666679e-01,-2.142230099839737889e+01,-4.405844379536030808e-01,5.062859483468683663e+01
8.409999999999999698e-01,-2.130050548094992635e+01,-4.429219480930536856e-01,5.044947014657502393e+01
8.473333333333332718e-01,-2.111234327380850218e+01,-4.452541831976444819e-01,5.029915372574974697e+01
8.536666666666665737e-01,-2.086145399311318371e+01,-4.475811944671472808e-01,5.017859718790592893e+01
8.599999999999999867e-01,-2.055257930190958149e+01,-4.499030322286275974e-01,5.008856374635655584e+01
8.663333333333332886e-01,-2.019147960425253174e+01,-4.522197459576307033e-01,5.002962338031997547e+01
8.726666666666665906e-01,-1.978483284113097085e+01,-4.545313842987024899e-01,5.000214922652387628e+01
8.790000000000000036e-01,-1.934011716626028488e+01,-4.568379950852707871e-01,5.000631521696990944e+01
8.853333333333333055e-01,-1.886547956300178797e+01,-4.591396253589106191e-01,5.004209497781369009e+01
8.916666666666666075e-01,-1.836959271066772459e+01,-4.614363213880184889e-01,5.010926199633097156e+01
8.980000000000000204e-01,-1.786150261491680524e+01,-4.637281286859161189e-01,5.020739105491311705e+01
9.043333333333332114e-01,-1.735046967920889216e+01,-4.660150920284057974e-01,5.033586092301352721e+01
9.106666666666666243e-01,-1.684580600952213203e+01,-4.682972554707983681e-01,5.049385829000294734e+01
9.170000000000000373e-01,-1.635671181071274560e+01,-4.705746623644312954e-01,5.068038291403581752e+01
9.233333333333332282e-01,-1.589211374885644545e+01,-4.728473553726975642e-01,5.089425395433147514e+01
9.296666666666666412e-01,-1.546050811937084468e+01,-4.751153764866021256e-01,5.113411744678196413e+01
9.360000000000000542e-01,-1.506981157628525025e+01,-4.773787670398627059e-01,5.139845487556046777e+01
9.423333333333332451e-01,-1.472722204518328581e+01,-4.796375677235721335e-01,5.168559278646552002e+01
9.486666666666666581e-01,-1.443909226342781693e+01,-4.818918186004371162e-01,5.199371338114136165e+01
9.549999999999999600e-01,-1.421081816942959719e+01,-4.841415591186086775e-01,5.232086602510501194e+01
